year,fip,state,county,democrat,republican,other,total
2000,01001,AL,Autauga,4942,11993,273,17208,17208
2000,01003,AL,Baldwin,13997,40872,1611,56480,56480
2000,01005,AL,Barbour,5188,5096,111,10395,10395
2000,01007,AL,Bibb,2710,4273,118,7101,7101
2000,01009,AL,Blount,4977,12667,329,17973,17973
2000,01011,AL,Bullock,3395,1433,76,4904,4904
2000,01013,AL,Butler,3606,4127,70,7803,7803
2000,01015,AL,Calhoun,15781,22306,822,38909,38909
2000,01017,AL,Chambers,5616,6037,181,11834,11834
2000,01019,AL,Cherokee,3497,4154,172,7823,7823
2000,01021,AL,Chilton,4806,10066,220,15092,15092
2000,01023,AL,Choctaw,3707,3600,67,7374,7374
2000,01025,AL,Clarke,4679,5988,85,10752,10752
2000,01027,AL,Clay,2045,3719,119,5883,5883
2000,01029,AL,Cleburne,1664,3333,95,5092,5092
2000,01031,AL,Coffee,5220,9938,276,15434,15434
2000,01033,AL,Colbert,10543,10518,471,21532,21532
2000,01035,AL,Conecuh,2783,2699,69,5551,5551
2000,01037,AL,Coosa,2104,2382,81,4567,4567
2000,01039,AL,Covington,4440,8961,212,13613,13613
2000,01041,AL,Crenshaw,1934,2793,68,4795,4795
2000,01043,AL,Cullman,9758,19157,610,29525,29525
2000,01045,AL,Dale,4906,10593,307,15806,15806
2000,01047,AL,Dallas,10967,7360,137,18464,18464
2000,01049,AL,DeKalb,7056,12827,402,20285,20285
2000,01051,AL,Elmore,6652,16777,375,23804,23804
2000,01053,AL,Escambia,4523,6975,162,11660,11660
2000,01055,AL,Etowah,17433,21087,828,39348,39348
2000,01057,AL,Fayette,3064,4582,162,7808,7808
2000,01059,AL,Franklin,4793,6119,191,11103,11103
2000,01061,AL,Geneva,2769,6588,202,9559,9559
2000,01063,AL,Greene,3504,850,42,4396,4396
2000,01065,AL,Hale,4652,2984,95,7731,7731
2000,01067,AL,Henry,2782,4054,96,6932,6932
2000,01069,AL,Houston,9412,22150,495,32057,32057
2000,01071,AL,Jackson,9066,8475,365,17906,17906
2000,01073,AL,Jefferson,129889,138491,5383,273763,273763
2000,01075,AL,Lamar,2653,4470,126,7249,7249
2000,01077,AL,Lauderdale,13875,17478,784,32137,32137
2000,01079,AL,Lawrence,6296,5671,218,12185,12185
